wave,yval,yerrLow,yerrUpp
4.1585822105407715,0.045850914069896914,0.0002007863626997436,0.0002007863626997436
4.1681389808654785,0.04778928658123519,0.0002090450898030863,0.0002090450898030863
4.177672863006592,0.0458683937269136,0.00020203442281849907,0.00020203442281849907
4.1871843338012695,0.04400927730343861,0.00019598196700189847,0.00019598196700189847
4.1966729164123535,0.04634865631364763,0.00020303362438437364,0.00020303362438437364
4.206139087677002,0.044684224505081825,0.00019927938244051528,0.00019927938244051528
4.215583324432373,0.04395663126349893,0.0001949012100237248,0.0001949012100237248
4.22500467300415,0.043585558347086197,0.00022125519677879593,0.00022125519677879593
4.234403610229492,0.04251310513082861,0.00019617594262326223,0.00019617594262326223
4.243780612945557,0.04273808378937469,0.00021677309667484862,0.00021677309667484862
4.253136157989502,0.04271942846813805,0.00020388809703154168,0.00020388809703154168
4.262470245361328,0.04481568338459791,0.0002097027626009764,0.0002097027626009764
4.271782875061035,0.042490538361242766,0.0002003013334055236,0.0002003013334055236
4.281074047088623,0.0423330174535528,0.00020354775059113907,0.00020354775059113907
4.290343761444092,0.040986667799056284,0.00019856914026113404,0.00019856914026113404
4.299592018127441,0.039467879969857234,0.0001967033226397753,0.0001967033226397753
4.30881929397583,0.04074436731775759,0.00019920074577150105,0.00019920074577150105
4.318025588989258,0.038288562131974214,0.00018732291140399272,0.00018732291140399272
4.327211856842041,0.03900899323319278,0.00023817737539851943,0.00023817737539851943
4.336377143859863,0.038728663583069665,0.00023177678148457117,0.00023177678148457117
4.345522403717041,0.03671980471363356,0.0001858656625558851,0.0001858656625558851
4.3546462059021,0.03494961194411067,0.00018576645353781838,0.00018576645353781838
4.363748550415039,0.036055530317673855,0.0001994061589331812,0.0001994061589331812
4.372827053070068,0.033923592235308664,0.00018027503503600253,0.00018027503503600253
4.381886005401611,0.03168056755495975,0.00018422262175123616,0.00018422262175123616
4.39092493057251,0.034297177557626145,0.00018152601637272652,0.00018152601637272652
